date,0,2,3,4,5,6,7,8,9,10
2016-02-21,98,0,0,0,0,0,0,0,0,0
2016-02-22,1077,0,0,0,0,0,0,0,0,0
2016-02-23,1316,0,0,0,0,0,0,0,0,0
2016-02-24,1646,0,0,0,0,0,0,0,0,0
2016-02-25,1357,0,0,0,0,0,0,0,0,0
2016-02-26,1245,0,0,0,0,0,0,0,0,0
2016-02-27,1264,0,0,0,0,0,0,0,0,0
2016-02-28,1526,0,0,0,0,0,0,0,0,0
2016-02-29,1353,0,0,0,0,0,0,0,0,0
2016-03-01,1423,0,0,0,0,0,0,0,0,0
2016-03-02,1258,0,0,0,0,0,0,0,0,0
2016-03-03,1557,0,0,0,0,0,0,0,0,0
2016-03-04,1269,0,0,0,0,0,0,0,0,0
2016-03-05,1451,0,0,0,0,0,0,0,0,0
2016-03-06,1388,0,0,0,0,0,0,0,0,0
2016-03-07,1392,0,0,0,0,0,0,0,0,0
2016-03-08,1404,0,0,0,0,0,0,0,0,0
2016-03-09,1309,0,0,0,0,0,0,0,0,0
2016-03-10,1629,0,0,0,0,0,0,0,0,0
2016-03-11,1244,0,0,0,0,0,0,0,0,0
2016-03-12,1360,0,0,0,0,0,0,0,0,0
2016-03-13,1306,0,0,0,0,0,0,0,0,0
2016-03-14,1444,0,0,0,0,0,0,0,0,0
2016-03-15,1569,0,0,0,0,0,0,0,0,0
2016-03-16,1187,0,0,0,0,0,0,0,0,0
2016-03-17,1486,0,0,0,0,0,0,0,0,0
2016-03-18,1578,0,0,0,0,0,0,0,0,0
2016-03-19,1324,0,0,0,0,0,0,0,0,0
2016-03-20,1395,0,0,0,0,0,0,0,0,0
2016-03-21,1308,0,0,0,0,0,0,0,0,0
2016-03-22,1443,0,0,0,0,0,0,0,0,0
2016-03-23,1503,0,0,0,0,0,0,0,0,0
2016-03-24,1257,0,0,0,0,0,0,0,0,0
2016-03-25,1475,0,0,0,0,0,0,0,0,0
2016-03-26,1477,0,0,0,0,0,0,0,0,0
2016-03-27,1507,0,0,0,0,0,0,0,0,0
2016-03-28,1333,0,0,0,0,0,0,0,0,0
2016-03-29,1344,0,0,0,0,0,0,0,0,0
2016-03-30,1541,0,0,0,0,0,0,0,0,0
2016-03-31,1343,0,0,0,0,0,0,0,0,0
2016-04-01,1464,0,0,0,0,0,0,0,0,0
2016-04-02,1448,0,0,0,0,0,0,0,0,0
2016-04-03,1405,0,0,0,0,0,0,0,0,0
2016-04-04,1331,0,0,0,0,0,0,0,0,0
2016-04-05,1370,0,0,0,0,0,0,0,0,0
2016-04-06,1283,0,0,0,0,0,0,0,0,0
2016-04-07,1673,0,0,0,0,0,0,0,0,0
2016-04-08,1347,0,0,0,0,0,0,0,0,0
2016-04-09,1278,0,0,0,0,0,0,0,0,0
2016-04-10,1427,0,0,0,0,0,0,0,0,0
2016-04-11,1379,0,0,0,0,0,0,0,0,0
2016-04-12,1503,0,0,0,0,0,0,0,0,0
2016-04-13,1369,0,0,0,0,0,0,0,0,0
2016-04-14,1555,0,0,0,0,0,0,0,0,0
2016-04-15,1335,0,0,0,0,0,0,0,0,0
2016-04-16,1403,0,0,0,0,0,0,0,0,0
2016-04-17,1359,0,0,0,0,0,0,0,0,0
2016-04-18,1312,0,0,0,0,0,0,0,0,0
2016-04-19,1590,0,0,0,0,0,0,0,0,0
2016-04-20,1382,0,0,0,0,0,0,0,0,0
2016-04-21,1315,0,0,0,0,0,0,0,0,0
2016-04-22,1527,0,0,0,0,0,0,0,0,0
2016-04-23,1525,0,0,0,0,0,0,0,0,0
2016-04-24,1414,0,0,0,0,0,0,0,0,0
2016-04-25,1353,0,0,0,0,0,0,0,0,0
2016-04-26,1477,0,0,0,0,0,0,0,0,0
2016-04-27,1441,0,0,0,0,0,0,0,0,0
2016-04-28,1326,0,0,0,0,0,0,0,0,0
2016-04-29,1547,0,0,0,0,0,0,0,0,0
2016-04-30,1384,0,0,0,0,0,0,0,0,0
2016-05-01,1411,0,0,0,0,0,0,0,0,0
2016-05-02,1346,0,0,0,0,0,0,0,0,0
2016-05-03,1316,0,0,0,0,0,0,0,0,0
2016-05-04,1500,0,0,0,0,0,0,0,0,0
2016-05-05,1361,0,0,0,0,0,0,0,0,0
2016-05-06,1289,0,0,0,0,0,0,0,0,0
2016-05-07,1628,0,0,0,0,0,0,0,0,0
2016-05-08,1380,0,0,0,0,0,0,0,0,0
2016-05-09,1313,0,0,0,0,0,0,0,0,0
2016-05-10,1215,0,0,0,0,0,0,0,0,0
2016-05-11,1289,0,0,0,0,0,0,0,0,0
2016-05-12,1606,0,0,0,0,0,0,0,0,0
2016-05-13,1250,0,0,0,0,0,0,0,0,0
2016-05-14,1523,0,0,0,0,0,0,0,0,0
2016-05-15,1469,0,0,0,0,0,0,0,0,0
2016-05-16,1288,0,0,0,0,0,0,0,0,0
2016-05-17,1449,0,0,0,0,0,0,0,0,0
2016-05-18,1442,0,0,0,0,0,0,0,0,0
2016-05-19,1414,0,0,0,0,0,0,0,0,0
2016-05-20,1298,0,0,0,0,0,0,0,0,0
2016-05-21,1459,0,0,0,0,0,0,0,0,0
2016-05-22,1425,0,0,0,0,0,0,0,0,0
2016-05-23,1316,0,0,0,0,0,0,0,0,0
2016-05-24,1411,0,0,0,0,0,0,0,0,0
2016-05-25,1322,0,0,0,0,0,0,0,0,0
2016-05-26,1398,0,0,0,0,0,0,0,0,0
2016-05-27,1475,0,0,0,0,0,0,0,0,0
2016-05-28,1357,0,0,0,0,0,0,0,0,0
2016-05-29,1202,0,0,0,0,0,0,0,0,0
