date,SRV,poolval,CapRealBTC
2016-02-19,0.0,52461.31,0.0
2016-02-20,0.0,53644.84,0.0
2016-02-21,0.0,59781.56,0.0
2016-02-22,0.0,64052.1,0.0
2016-02-23,0.0,66967.37,0.0
2016-02-24,0.0,73215.35,0.0
2016-02-25,0.0,80326.52,0.0
2016-02-26,0.0,84544.5,0.0
2016-02-27,0.0,89327.78,0.0
2016-02-28,0.0,94094.16,0.0
2016-02-29,0.0,97223.4,0.0
2016-03-01,0.0,102725.6,0.0
2016-03-02,0.0,107836.86,0.0
2016-03-03,0.0,115582.55,0.0
2016-03-04,0.0,120676.94,0.0
2016-03-05,0.0,125756.17,0.0
2016-03-06,0.0,132085.43,0.0
2016-03-07,0.0,136650.34,0.0
2016-03-08,0.0,147407.46,0.0
2016-03-09,0.0,166181.53,0.0
2016-03-10,0.0,192945.89,0.0
2016-03-11,0.0,200254.33,0.0
2016-03-12,0.0,209916.63,0.0
2016-03-13,0.0,214840.47,0.0
2016-03-14,0.0,218455.44,0.0
2016-03-15,0.0,226758.37,0.0
2016-03-16,0.0,233169.01,0.0
2016-03-17,0.0,235419.14,0.0
2016-03-18,0.0,244081.98,0.0
2016-03-19,0.0,248442.81,0.0
2016-03-20,0.0,259302.39,0.0
2016-03-21,0.0,268476.31,0.0
2016-03-22,0.0,276060.33,0.0
2016-03-23,0.0,287280.31,0.0
2016-03-24,0.0,292341.57,0.0
2016-03-25,0.0,305669.38,0.0
2016-03-26,0.0,306706.11,0.0
2016-03-27,0.0,323797.8,0.0
2016-03-28,0.0,330820.52,0.0
2016-03-29,0.0,336281.18,0.0
2016-03-30,0.0,347583.42,0.0
2016-03-31,0.0,349897.82,0.0
2016-04-01,0.0,361702.23,0.0
2016-04-02,0.0,360586.61,0.0
2016-04-03,0.0,369532.26,0.0
2016-04-04,0.0,368236.0,0.0
2016-04-05,0.0,379598.89,0.0
2016-04-06,0.0,384509.2,0.0
2016-04-07,0.0,388002.81,0.0
2016-04-08,0.0,395235.28,0.0
2016-04-09,0.0,391662.55,0.0
2016-04-10,0.0,397236.92,0.0
2016-04-11,0.0,395339.0,0.0
2016-04-12,0.0,412532.9,0.0
2016-04-13,0.0,408950.62,0.0
2016-04-14,0.0,413767.91,0.0
2016-04-15,0.0,423277.32,0.0
2016-04-16,0.0,424311.23,0.0
2016-04-17,0.0,444177.19,0.0
2016-04-18,0.0,447044.18,0.0
2016-04-19,0.0,449011.87,0.0
2016-04-20,0.0,469404.68,0.0
2016-04-21,0.0,459024.14,0.0
2016-04-22,0.0,460984.88,0.0
2016-04-23,0.0,465411.74,0.0
2016-04-24,0.0,461920.84,0.0
2016-04-25,0.0,472653.55,0.0
2016-04-26,0.0,470059.38,0.0
2016-04-27,0.0,482584.17,0.0
2016-04-28,0.0,494950.72,0.0
2016-04-29,0.0,487085.0,0.0
2016-04-30,0.0,494258.88,0.0
2016-05-01,0.0,509338.39,0.0
2016-05-02,0.0,514069.51,0.0
2016-05-03,0.0,523982.69,0.0
2016-05-04,0.0,536681.41,0.0
2016-05-05,0.0,554206.39,0.0
2016-05-06,0.0,554950.46,0.0
2016-05-07,0.0,564894.28,0.0
2016-05-08,0.0,564296.61,0.0
2016-05-09,0.0,577576.15,0.0
2016-05-10,0.0,570385.33,0.0
2016-05-11,0.0,585361.92,0.0
2016-05-12,0.0,578087.62,0.0
2016-05-13,0.0,588716.62,0.0
2016-05-14,0.0,588217.25,0.0
2016-05-15,0.0,613533.48,0.0
2016-05-16,0.0,606260.46,0.0
2016-05-17,172.89,615356.1,564.75
2016-05-18,206.77,618006.35,768.62
2016-05-19,324.03,629175.26,1066.36
2016-05-20,320.5,627112.03,1160.72
2016-05-21,488.07,625687.98,1282.0
2016-05-22,524.0,642754.6,1374.15
2016-05-23,653.88,642886.91,1492.42
2016-05-24,666.24,646699.4,1570.77
2016-05-25,804.53,654609.57,1639.74
2016-05-26,813.99,655785.19,1728.66
2016-05-27,878.09,666942.71,1796.55
2016-05-28,923.73,664177.73,1873.65
2016-05-29,946.85,676254.87,1910.06
2016-05-30,1043.84,672639.73,1966.95
2016-05-31,1054.87,693201.49,2039.36
2016-06-01,1224.42,683444.4,2187.0
2016-06-02,1197.38,699053.49,2265.64
2016-06-03,1255.69,711764.84,2332.79
2016-06-04,1338.16,707089.46,2430.44
2016-06-05,1359.97,714029.62,2469.63
2016-06-06,1409.78,731122.23,2499.79
2016-06-07,1444.12,730209.29,2555.23
2016-06-08,1494.0,735195.77,2601.74
2016-06-09,1521.64,739752.22,3277.5
2016-06-10,1642.42,744076.84,3316.94
2016-06-11,1608.7,758895.93,3359.28
2016-06-12,1653.01,766239.05,3364.27
2016-06-13,1725.13,763617.53,3372.83
2016-06-14,1718.21,802883.84,3402.01
2016-06-15,1783.03,790595.43,3418.47
2016-06-16,1760.83,795124.35,3401.82
2016-06-17,1798.75,809541.21,3370.4
2016-06-18,1816.69,806049.11,3452.58
2016-06-19,1856.41,811154.89,3522.19
2016-06-20,1867.45,832932.65,3578.96
2016-06-21,1907.88,825400.57,3605.85
2016-06-22,1999.51,845735.33,3651.43
2016-06-23,1951.32,846301.9,3692.3
2016-06-24,2005.16,851771.8,3714.36
2016-06-25,2003.02,852773.29,3747.98
2016-06-26,2039.91,860249.73,3768.87
2016-06-27,2125.07,875511.47,3844.13
2016-06-28,2103.67,875940.15,3894.47
2016-06-29,2180.81,882326.14,3980.1
2016-06-30,2285.94,887989.02,4039.37
2016-07-01,2255.16,899791.35,4075.14
2016-07-02,2352.33,905678.47,4117.9
2016-07-03,2324.12,912185.94,4173.9
2016-07-04,2370.26,916876.56,4213.99
2016-07-05,2399.62,918916.67,4246.7
2016-07-06,2414.54,923369.67,4275.24
2016-07-07,2441.28,933628.8,4291.18
2016-07-08,2442.83,934993.64,4328.43
2016-07-09,2465.18,936710.64,4336.63
2016-07-10,2521.51,946908.43,4366.33
2016-07-11,2486.97,947472.7,4395.21
2016-07-12,2535.61,949496.63,4414.7
2016-07-13,2497.35,949293.82,4433.19
2016-07-14,2512.53,954550.22,4467.88
2016-07-15,2523.24,954497.7,4509.73
2016-07-16,2538.69,953798.84,4511.4
2016-07-17,2580.06,956222.79,4556.41
2016-07-18,2525.59,961066.71,4572.76
2016-07-19,2568.81,959412.83,4608.27
2016-07-20,2536.73,967440.27,4620.29
2016-07-21,2552.76,954275.61,4641.17
2016-07-22,2615.35,958746.63,4678.15
2016-07-23,2585.2,964033.29,4703.56
2016-07-24,2591.8,966389.94,4718.41
2016-07-25,2612.97,968472.54,4799.82
2016-07-26,2632.32,976254.94,4774.22
2016-07-27,2621.44,972361.35,4792.87
2016-07-28,2670.76,983046.56,4807.01
2016-07-29,2638.06,970396.35,4828.16
2016-07-30,2686.06,978293.59,4857.02
