date,SRV,poolval,CapRealBTC
2016-02-08,0.0,0.0,0.0
2016-02-09,0.0,1745.24,0.0
2016-02-10,0.0,10296.26,0.0
2016-02-11,0.0,19330.0,0.0
2016-02-12,0.0,32461.09,0.0
2016-02-13,0.0,40578.99,0.0
2016-02-14,0.0,41941.78,0.0
2016-02-15,0.0,44249.88,0.0
2016-02-16,0.0,46991.83,0.0
2016-02-17,0.0,49186.58,0.0
2016-02-18,0.0,51143.52,0.0
