date,1,2,3,4,5,6,7,8,9,10
2016-02-08,332,0,0,0,0,0,0,0,0,0
2016-02-09,359,0,0,0,0,0,0,0,0,0
2016-02-10,161,0,0,0,0,0,0,0,0,0
2016-02-11,292,0,0,0,0,0,0,0,0,0
2016-02-12,371,0,0,0,0,0,0,0,0,0
2016-02-13,286,0,0,0,0,0,0,0,0,0
2016-02-14,238,0,0,0,0,0,0,0,0,0
2016-02-15,250,0,0,0,0,0,0,0,0,0
2016-02-16,395,0,0,0,0,0,0,0,0,0
2016-02-17,282,0,0,0,0,0,0,0,0,0
2016-02-18,270,0,0,0,0,0,0,0,0,0
2016-02-19,272,0,0,0,0,0,0,0,0,0
2016-02-20,298,0,0,0,0,0,0,0,0,0
2016-02-21,311,0,0,0,0,0,0,0,0,0
2016-02-22,236,0,0,0,0,0,0,0,0,0
2016-02-23,291,0,0,0,0,0,0,0,0,0
2016-02-24,349,0,0,0,0,0,0,0,0,0
2016-02-25,283,0,0,0,0,0,0,0,0,0
2016-02-26,261,0,0,0,0,0,0,0,0,0
2016-02-27,261,0,0,0,0,0,0,0,0,0
2016-02-28,319,0,0,0,0,0,0,0,0,0
2016-02-29,283,0,0,0,0,0,0,0,0,0
2016-03-01,296,0,0,0,0,0,0,0,0,0
2016-03-02,261,0,0,0,0,0,0,0,0,0
2016-03-03,322,0,0,0,0,0,0,0,0,0
2016-03-04,260,0,0,0,0,0,0,0,0,0
2016-03-05,298,0,0,0,0,0,0,0,0,0
2016-03-06,286,0,0,0,0,0,0,0,0,0
2016-03-07,288,0,0,0,0,0,0,0,0,0
2016-03-08,289,0,0,0,0,0,0,0,0,0
2016-03-09,272,0,0,0,0,0,0,0,0,0
2016-03-10,343,0,0,0,0,0,0,0,0,0
2016-03-11,257,0,0,0,0,0,0,0,0,0
2016-03-12,281,0,0,0,0,0,0,0,0,0
2016-03-13,272,0,0,0,0,0,0,0,0,0
2016-03-14,301,0,0,0,0,0,0,0,0,0
2016-03-15,322,0,0,0,0,0,0,0,0,0
2016-03-16,243,0,0,0,0,0,0,0,0,0
2016-03-17,302,0,0,0,0,0,0,0,0,0
2016-03-18,324,0,0,0,0,0,0,0,0,0
2016-03-19,271,0,0,0,0,0,0,0,0,0
2016-03-20,283,0,0,0,0,0,0,0,0,0
2016-03-21,267,0,0,0,0,0,0,0,0,0
2016-03-22,297,0,0,0,0,0,0,0,0,0
2016-03-23,308,0,0,0,0,0,0,0,0,0
2016-03-24,256,0,0,0,0,0,0,0,0,0
2016-03-25,300,0,0,0,0,0,0,0,0,0
2016-03-26,302,0,0,0,0,0,0,0,0,0
2016-03-27,307,0,0,0,0,0,0,0,0,0
